ATP6V1A,NCBI:523
ATP6V1B1,NCBI:525
ATP6V1B2,NCBI:526
ATP6V0C,NCBI:527
ATP6V1C1,NCBI:528
ATP6V1E1,NCBI:529
ATP6V0B,NCBI:533
ATP6V1G2,NCBI:534
ATP6V0A1,NCBI:535
ATP6AP1,NCBI:537
ATP7A,NCBI:538
ATP5PO,NCBI:539
ATP7B,NCBI:540
ALDH7A1P1,NCBI:541
ALDH7A1P2,NCBI:542
ALDH7A1P3,NCBI:543
ALDH7A1P4,NCBI:544
ATR,NCBI:545
ATRX,NCBI:546
KIF1A,NCBI:547
AUH,NCBI:549
AUP1,NCBI:550
AVP,NCBI:551
AVPR1A,NCBI:552
AVPR1B,NCBI:553
AVPR2,NCBI:554
AXL,NCBI:558
AZF1,NCBI:560
AZGP1,NCBI:563
AZU1,NCBI:566
B2M,NCBI:567
B2MR,NCBI:568
BAAT,NCBI:570
BACH1,NCBI:571
BAD,NCBI:572
BAG1,NCBI:573
BAGE,NCBI:574
ADGRB1,NCBI:575
ADGRB2,NCBI:576
ADGRB3,NCBI:577
BAK1,NCBI:578
NKX3-2,NCBI:579
BARD1,NCBI:580
BAX,NCBI:581
BBS1,NCBI:582
BBS2,NCBI:583
BBS4,NCBI:585
BCAT1,NCBI:586
BCAT2,NCBI:587
BCHE,NCBI:590
BCKDHA,NCBI:593
BCKDHB,NCBI:594
CCND1,NCBI:595
BCL2,NCBI:596
BCL2A1,NCBI:597
BCL2L1,NCBI:598
BCL2L2,NCBI:599
BAK1P1,NCBI:600
BAK1P2,NCBI:601
BCL3,NCBI:602
BCL5,NCBI:603
BCL6,NCBI:604
BCL7A,NCBI:605
NBEAP1,NCBI:606
BCL9,NCBI:607
TNFRSF17,NCBI:608
HCN2,NCBI:610
OPN1SW,NCBI:611
BCR,NCBI:613
BCRP4,NCBI:616
BCS1L,NCBI:617
BCYRN1,NCBI:618
BCYRN1P1,NCBI:619
BCYRN1P2,NCBI:620
BDH1,NCBI:622
BDKRB1,NCBI:623
BDKRB2,NCBI:624
BDNF,NCBI:627
BEVI,NCBI:628
CFB,NCBI:629
BFSP1,NCBI:631
BGLAP,NCBI:632
BGN,NCBI:633
CEACAM1,NCBI:634
BHMT,NCBI:635
BICD1,NCBI:636
