# CSV generated from:L
# https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-018-04647-1/MediaObjects/41467_2018_4647_MOESM4_ESM.xlsx
# Supplementary Data 1. Experimentally identified gold standard SL interactions,,,,,,
# ,,,,,,
gene1,gene2,gene1 perturbation,gene2 perturbation,PMID,cancer type tested,SL
MUS81,AGRN,mut,shRNA,24104479,COAD,0
MUS81,CCBL2,mut,shRNA,24104479,COAD,0
MUS81,MEP1A,mut,shRNA,24104479,COAD,0
MUS81,RRM1,mut,shRNA,24104479,COAD,0
MUS81,ABAT,mut,shRNA,24104479,COAD,0
MUS81,SLC16A7,mut,shRNA,24104479,COAD,0
MUS81,THG1L,mut,shRNA,24104479,COAD,0
MUS81,AIF1L,mut,shRNA,24104479,COAD,1
MUS81,DLG3,mut,shRNA,24104479,COAD,0
MUS81,PRKCB,mut,shRNA,24104479,COAD,0
MUS81,AP3S2,mut,shRNA,24104479,COAD,1
MUS81,OR1D2,mut,shRNA,24104479,COAD,0
MUS81,VEZF1,mut,shRNA,24104479,COAD,0
MUS81,C2,mut,shRNA,24104479,COAD,0
MUS81,RCOR2,mut,shRNA,24104479,COAD,0
MUS81,SLC35F3,mut,shRNA,24104479,COAD,0
MUS81,FRMD4A,mut,shRNA,24104479,COAD,0
MUS81,TBKBP1,mut,shRNA,24104479,COAD,0
MUS81,CDK5RAP2,mut,shRNA,24104479,COAD,1
MUS81,WNK3,mut,shRNA,24104479,COAD,0
MUS81,ZNF207,mut,shRNA,24104479,COAD,0
MUS81,AKNA,mut,shRNA,24104479,COAD,1
MUS81,SSR3,mut,shRNA,24104479,COAD,0
MUS81,USP7,mut,shRNA,24104479,COAD,0
MUS81,FSHR,mut,shRNA,24104479,COAD,0
MUS81,ARPP19,mut,shRNA,24104479,COAD,0
MUS81,ANAPC10,mut,shRNA,24104479,COAD,0
MUS81,ADRB3,mut,shRNA,24104479,COAD,0
MUS81,KCNN3,mut,shRNA,24104479,COAD,0
